from,to,distance_km
0,1,268
0,2,200
0,3,497
1,4,1153
1,2,240
2,3,363
2,6,1093
3,9,985
4,5,149
4,6,711
5,6,559
6,7,626
6,8,574
7,8,346
8,6,574
9,3,985
